customer_id,first_name,last_name,gender,dob,city,state,country,phone,email,occupation,annual_income,credit_score,kyc_status,join_date,risk_category
1,Krishna,Rai,Female,1959-05-02,Pokhara,Gandaki,Nepal,9845962432,krishna.rai1@mailbank.com,Engineer,1650069.45,359,Expired,2018-10-25,Low
2,Anita,Lama,Female,1961-04-08,Biratnagar,Koshi,Nepal,9816087647,anita.lama2@mailbank.com,Software Developer,1886567.14,879,Verified,2019-01-03,High
3,Gita,Pandey,Female,1959-06-13,Biratnagar,Koshi,Nepal,9813126110,gita.pandey3@mailbank.com,Software Developer,3631043.21,596,Pending,2017-03-27,High
4,Mina,Pandey,Female,2005-04-06,Bhaktapur,Bagmati,Nepal,9822128342,mina.pandey4@mailbank.com,Engineer,2518032.66,492,Verified,2016-03-09,High
5,Indira,Gurung,Male,1973-06-23,Butwal,Lumbini,Nepal,9845683141,indira.gurung5@mailbank.com,Student,3304459.68,776,Expired,2024-03-01,Medium
6,Sabina,Bhattarai,Male,1976-11-24,Pokhara,Gandaki,Nepal,9848548922,sabina.bhattarai6@mailbank.com,Government Employee,2291289.95,651,Pending,2020-06-16,High
7,Suresh,Tamang,Female,1969-10-19,Dhangadhi,Sudurpashchim,Nepal,9832954976,suresh.tamang7@mailbank.com,Doctor,3931746.25,731,Verified,2015-09-28,High
8,Amit,Chaudhary,Female,1985-07-07,Janakpur,Madhesh,Nepal,9833500073,amit.chaudhary8@mailbank.com,Retired,2176632.68,767,Verified,2016-02-06,Medium
9,Arjun,Bhandari,Male,1960-06-11,Janakpur,Madhesh,Nepal,9830777399,arjun.bhandari9@mailbank.com,Driver,2503343.85,756,Verified,2022-08-27,Medium
10,Sita,Maharjan,Female,1970-01-28,Nepalgunj,Lumbini,Nepal,9817858165,sita.maharjan10@mailbank.com,Bank Officer,416996.77,594,Verified,2019-07-22,Medium
11,Kavita,KC,Female,1962-03-25,,,Nepal,9840144456,kavita.kc11@mailbank.com,Student,2388748.43,440,Pending,2026-05-05,Medium
12,Indira,Lama,Female,1989-02-17,Biratnagar,Koshi,Nepal,9820128130,indira.lama12@mailbank.com,Engineer,888395.27,537,Verified,2014-04-09,Medium
13,Bidya,Pandey,Male,1978-07-28,Bharatpur,Bagmati,Nepal,9810274717,bidya.pandey13@mailbank.com,Doctor,1864164.93,678,Expired,2021-02-23,Low
14,Pramod,Malla,Male,1995-12-20,Damak,Koshi,Nepal,9847532091,pramod.malla14@mailbank.com,Student,1780239.91,703,Verified,2024-10-19,Medium
15,Gita,Karki,Male,1973-09-23,Butwal,Lumbini,Nepal,9820891982,gita.karki15@mailbank.com,Engineer,1547015.68,353,Verified,2014-01-02,High
16,Sunita,Dahal,Male,1987-08-15,Nepalgunj,Lumbini,Nepal,9811711335,sunita.dahal16@mailbank.com,Engineer,3694816.16,685,Verified,2019-08-29,Medium
17,Sagar,Khadka,Female,1966-01-08,Pokhara,Gandaki,Nepal,9842753692,sagar.khadka17@mailbank.com,Bank Officer,2111188.32,619,Verified,2017-03-26,Low
18,Bina,Basnet,Female,1997-12-09,Bhaktapur,Bagmati,Nepal,9820833961,bina.basnet18@mailbank.com,Software Developer,272844.8,840,Verified,2017-04-15,High
19,Ganesh,Sharma,Female,1963-03-02,Janakpur,Madhesh,Nepal,9827523144,ganesh.sharma19@mailbank.com,Software Developer,1654133.16,471,Verified,2018-12-31,High
20,Vikram,Subedi,Female,1975-01-04,Nepalgunj,Lumbini,Nepal,9823096028,vikram.subedi20@mailbank.com,Nurse,1142338.45,710,Verified,2018-06-26,High
21,Meera,Khadka,Male,1957-07-04,Dhangadhi,Sudurpashchim,Nepal,9828751460,,Bank Officer,1221880.94,652,Pending,2021-11-03,Medium
22,Anita,Bhattarai,Male,1975-05-09,Butwal,Lumbini,Nepal,9823200727,anita.bhattarai22@mailbank.com,Farmer,1001580.92,301,Pending,2021-09-19,Low
23,Bidya,Acharya,Male,1989-11-09,Dhangadhi,Sudurpashchim,Nepal,9823376098,bidya.acharya23@mailbank.com,Bank Officer,3753824.24,744,Verified,2015-12-12,Medium
24,Poonam,Magar,Male,1969-04-02,Lalitpur,Bagmati,Nepal,9818525400,poonam.magar24@mailbank.com,Teacher,787625.82,776,Verified,2024-08-21,Medium
25,Sunita,Dahal,Male,1956-12-02,Kathmandu,Bagmati,Nepal,9816896915,sunita.dahal25@mailbank.com,Software Developer,3192974.84,442,Pending,2018-05-15,Low
26,Sita,Adhikari,Male,1981-04-13,Hetauda,Bagmati,Nepal,9826142325,sita.adhikari26@mailbank.com,Nurse,2537477.42,565,Expired,2023-05-26,Low
27,Gita,KC,Female,1996-02-08,Itahari,Koshi,Nepal,9849147873,gita.kc27@mailbank.com,Accountant,3815273.03,730,Expired,2016-12-07,High
28,Sunita,Koirala,Male,1994-06-27,Dhangadhi,Sudurpashchim,Nepal,9822288162,sunita.koirala28@mailbank.com,Retired,195808.58,453,Verified,2017-03-05,Medium
29,Kalpana,Ghimire,Male,2004-12-03,Kathmandu,Bagmati,Nepal,9831876291,kalpana.ghimire29@mailbank.com,Driver,2263761.83,868,Pending,2016-05-19,High
30,Gita,Bhattarai,Male,1979-11-05,Kathmandu,Bagmati,Nepal,9816559574,gita.bhattarai30@mailbank.com,Software Developer,1997747.23,328,Verified,2023-12-11,Medium
31,Kalpana,Koirala,Male,1979-11-13,Butwal,Lumbini,Nepal,,kalpana.koirala31@mailbank.com,Software Developer,3425595.81,819,Verified,2025-09-26,Medium
32,Devi,Dahal,Male,1995-02-24,Lalitpur,Bagmati,Nepal,9837960039,devi.dahal32@mailbank.com,Engineer,1757304.8,623,Verified,2019-05-26,Medium
33,Suresh,Karki,Female,1965-12-23,Damak,Koshi,Nepal,9820364737,suresh.karki33@mailbank.com,Shopkeeper,2766701.16,674,Verified,2019-09-05,Low
